display_name	other_spellings	public_snp_source	status
Namboothiri Brahmin	Nambudiri, Namboothiri, Kerala Brahmin	no AADR HO label; HO Brahmin is two generic samples	reference_table_only
Nair	Nair, Nayar, Malayala Kshatriya	no AADR HO label	reference_table_only
Syrian Christian	St. Thomas Christian, Nasrani, Malayali Christian	no AADR HO label	reference_table_only
Ezhava	Ezhava, Thiyya, Thiyya (Malabar)	no AADR HO label	reference_table_only
Pulaya	Pulaya, Pulayar (Scheduled Caste)	no AADR HO label	reference_table_only
Cochin_Jew	Jew_Cochin, Cochin Jewish	AADR HO Jew_Cochin n=5	usable_now_not_malayali_jati
